SABC,D,Status,Use,Code Length,Area Type,Notes,Date,Changes
1000,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1001,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1002,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1003,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1004,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1005,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1006,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1007,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1008,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1009,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1010,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1011,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1012,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1013,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1014,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1015,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1016,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1017,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1018,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1019,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1020,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1021,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1022,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1023,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1024,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1025,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1026,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1027,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1028,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1029,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1030,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1031,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1032,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1033,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1034,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1035,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1036,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1037,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1038,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1039,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1040,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1041,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1042,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1043,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1044,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1045,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1046,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1047,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1048,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1049,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1050,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1051,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1052,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1053,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1054,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1055,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1056,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1057,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1058,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1059,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1060,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1061,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1062,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1063,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1064,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1065,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1066,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1067,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1068,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1069,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1070,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1071,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1072,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1073,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1074,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1075,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1076,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1077,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1078,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1079,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1080,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
1081,,Not Designated,,,,,,Missing SABC entry inserted. Status 'Not Designated' assumed.
